repeat,outer_random_state,accuracy,balanced_accuracy,macro_f1,healthy_precision,healthy_recall,healthy_f1,parkinson_precision,parkinson_recall,parkinson_f1,roc_auc,healthy_correct,healthy_incorrect,parkinson_incorrect,parkinson_correct
1,42,0.8788732394366198,0.8633736929003852,0.8369559412550067,0.6875,0.8354430379746836,0.7542857142857143,0.9498069498069498,0.8913043478260869,0.9196261682242991,0.9315263254448726,66,13,30,246
2,1042,0.8788732394366198,0.8362685745734728,0.8287928578638643,0.7142857142857143,0.759493670886076,0.7361963190184049,0.9298892988929889,0.9130434782608695,0.9213893967093236,0.9231333700238489,60,19,24,252
3,2042,0.8732394366197183,0.8326453861676757,0.8223519599666389,0.6976744186046512,0.759493670886076,0.7272727272727273,0.929368029739777,0.9057971014492754,0.9174311926605505,0.9169877086773068,60,19,26,250
4,3042,0.8788732394366198,0.854338653458081,0.8343803231021276,0.6956521739130435,0.810126582278481,0.7485380116959064,0.9429657794676806,0.8985507246376812,0.9202226345083488,0.9295542102366539,64,15,28,248
5,4042,0.8760563380281691,0.8615620986974867,0.8338014981273408,0.6804123711340206,0.8354430379746836,0.75,0.9496124031007752,0.8876811594202898,0.9176029962546817,0.9327646303430562,66,13,31,245
