repeat,outer_random_state,accuracy,balanced_accuracy,macro_f1,healthy_precision,healthy_recall,healthy_f1,parkinson_precision,parkinson_recall,parkinson_f1,roc_auc,healthy_correct,healthy_incorrect,parkinson_incorrect,parkinson_correct
1,42,0.8647887323943662,0.8543157218858926,0.8213836477987422,0.6534653465346535,0.8354430379746836,0.7333333333333333,0.9488188976377953,0.8731884057971014,0.909433962264151,0.9202898550724639,66,13,35,241
2,1042,0.8873239436619719,0.8552559163456246,0.8427533664068037,0.7241379310344828,0.7974683544303798,0.7590361445783133,0.9402985074626866,0.9130434782608695,0.9264705882352942,0.924188222344524,63,16,24,252
3,2042,0.8591549295774648,0.828104934874335,0.8081827613037089,0.6559139784946236,0.7721518987341772,0.7093023255813954,0.9312977099236641,0.8840579710144928,0.9070631970260223,0.9209778022381213,61,18,32,244
4,3042,0.8845070422535212,0.8489268024215739,0.8381428968584932,0.7209302325581395,0.7848101265822784,0.7515151515151515,0.9368029739776952,0.9130434782608695,0.9247706422018349,0.9195101816180516,62,17,24,252
5,4042,0.856338028169014,0.8488809392771969,0.8122686409307245,0.6346153846153846,0.8354430379746836,0.7213114754098361,0.9482071713147411,0.8623188405797102,0.9032258064516129,0.9186387818748853,66,13,38,238
