repeat,outer_fold,outer_random_state,inner_random_state,train_subjects,test_subjects,selected_threshold,inner_score_std,inner_accuracy,inner_balanced_accuracy,inner_macro_f1,inner_healthy_precision,inner_healthy_recall,inner_healthy_f1,inner_parkinson_precision,inner_parkinson_recall,inner_parkinson_f1,inner_roc_auc,outer_accuracy,outer_balanced_accuracy,outer_macro_f1,outer_healthy_precision,outer_healthy_recall,outer_healthy_f1,outer_parkinson_precision,outer_parkinson_recall,outer_parkinson_f1,outer_roc_auc
1,1,42,43,284,71,0.2634723269608533,0.7919301170666065,0.897887323943662,0.8549522373051786,0.8529469530594389,0.765625,0.7777777777777778,0.7716535433070866,0.9363636363636364,0.9321266968325792,0.9342403628117913,0.9331322272498743,0.8169014084507042,0.8375,0.777106978990582,0.56,0.875,0.6829268292682927,0.9565217391304348,0.8,0.8712871287128713,0.9056818181818181
1,2,42,44,284,71,0.21255700066687977,0.7318189910252343,0.8838028169014085,0.8345543345543346,0.8326637741710858,0.734375,0.746031746031746,0.7401574803149606,0.9272727272727272,0.9230769230769231,0.9251700680272109,0.915607268548445,0.9154929577464789,0.8568181818181818,0.8732142857142857,0.8571428571428571,0.75,0.8,0.9298245614035088,0.9636363636363636,0.9464285714285714,0.9522727272727273
1,3,42,45,284,71,0.18874673489281615,0.7428784505060859,0.9084507042253521,0.8578125,0.8658820110433014,0.8166666666666667,0.765625,0.7903225806451613,0.9330357142857143,0.95,0.9414414414414415,0.9274147727272727,0.8732394366197183,0.8708333333333333,0.8293724966622162,0.65,0.8666666666666667,0.7428571428571429,0.9607843137254902,0.875,0.9158878504672897,0.9238095238095239
1,4,42,46,284,71,0.3303478327562013,0.7709999881711332,0.8732394366197183,0.8845076492135315,0.8369377990430622,0.6551724137931034,0.9047619047619048,0.76,0.9695431472081218,0.8642533936651584,0.9138755980861244,0.9247288659053365,0.8873239436619719,0.8607954545454546,0.8453159041394336,0.7222222222222222,0.8125,0.7647058823529411,0.9433962264150944,0.9090909090909091,0.9259259259259259,0.9374999999999999
1,5,42,47,284,71,0.23327739297276556,0.6789013838535474,0.8661971830985915,0.8232421173597644,0.8124826244092299,0.6811594202898551,0.746031746031746,0.7121212121212122,0.9255813953488372,0.9004524886877828,0.9128440366972477,0.9134525605113841,0.9014084507042254,0.8920454545454546,0.8672897196261682,0.7368421052631579,0.875,0.8,0.9615384615384616,0.9090909090909091,0.9345794392523364,0.9431818181818181
2,1,1042,1043,284,71,0.412781462846345,0.7187571366113839,0.8556338028169014,0.8618473030237737,0.8150777391331967,0.625,0.873015873015873,0.7284768211920529,0.9591836734693877,0.8506787330316742,0.9016786570743405,0.9174028585793291,0.8450704225352113,0.8778409090909092,0.811398212992031,0.6,0.9375,0.7317073170731707,0.9782608695652174,0.8181818181818182,0.8910891089108911,0.9431818181818182
2,2,1042,1044,284,71,0.15212144040666478,0.7664424913590032,0.8732394366197183,0.8107448107448108,0.8142981691368789,0.7213114754098361,0.6984126984126984,0.7096774193548387,0.9147982062780269,0.9230769230769231,0.918918918918919,0.9041154923507864,0.9154929577464789,0.8789772727272727,0.8789772727272727,0.8125,0.8125,0.8125,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9579545454545454
2,3,1042,1045,284,71,0.2355378689642038,0.7510896672531292,0.8873239436619719,0.8552556818181818,0.8437306554783686,0.7285714285714285,0.796875,0.7611940298507462,0.9392523364485982,0.9136363636363637,0.9262672811059908,0.9304687500000001,0.8873239436619719,0.8797619047619047,0.8453159041394336,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.9464285714285714
2,4,1042,1046,284,71,0.09724989529039847,0.7350102055910577,0.897887323943662,0.8095597213244272,0.837640704161492,0.8541666666666666,0.6507936507936508,0.7387387387387387,0.9067796610169492,0.9683257918552036,0.936542669584245,0.9281763987646341,0.9014084507042254,0.803409090909091,0.8399355877616748,0.9090909090909091,0.625,0.7407407407407407,0.9,0.9818181818181818,0.9391304347826087,0.9443181818181818
2,5,1042,1047,284,71,0.2438747126217746,0.8033327075400004,0.8908450704225352,0.8617754794225383,0.8478264627084954,0.7285714285714285,0.8095238095238095,0.7669172932330827,0.9439252336448598,0.9140271493212669,0.9287356321839081,0.9437621202327084,0.8450704225352113,0.7448863636363636,0.7616722612145255,0.6923076923076923,0.5625,0.6206896551724138,0.8793103448275862,0.9272727272727272,0.9026548672566371,0.884090909090909
3,1,2042,2043,284,71,0.10764372051958304,0.7392495062393271,0.9014084507042254,0.8345184227537169,0.8502448210922787,0.8181818181818182,0.7142857142857143,0.7627118644067796,0.9213973799126638,0.9547511312217195,0.9377777777777778,0.938949938949939,0.8873239436619719,0.8164772727272727,0.8309523809523809,0.7857142857142857,0.6875,0.7333333333333333,0.9122807017543859,0.9454545454545454,0.9285714285714286,0.9159090909090909
3,2,2042,2044,284,71,0.2161834567236824,0.7974129368126611,0.8943661971830986,0.8542613636363636,0.8503688092729189,0.7575757575757576,0.78125,0.7692307692307693,0.9357798165137615,0.9272727272727272,0.9315068493150684,0.9326704545454545,0.8309859154929577,0.6732142857142858,0.6991525423728814,0.6666666666666666,0.4,0.5,0.8548387096774194,0.9464285714285714,0.8983050847457628,0.8988095238095238
3,3,2042,2045,284,71,0.320390822591844,0.7190905274979319,0.8767605633802817,0.8697478991596639,0.8364459070341423,0.675,0.8571428571428571,0.7552447552447552,0.9558823529411765,0.8823529411764706,0.9176470588235294,0.9242261006966889,0.8309859154929577,0.8909090909090909,0.8024118738404453,0.5714285714285714,1.0,0.7272727272727273,1.0,0.7818181818181819,0.8775510204081632,0.9420454545454545
3,4,2042,2046,284,71,0.10751329661118023,0.7972427367756159,0.8873239436619719,0.8197945845004668,0.8309523809523809,0.7719298245614035,0.6984126984126984,0.7333333333333333,0.9162995594713657,0.9411764705882353,0.9285714285714286,0.9130934425052072,0.9014084507042254,0.8255681818181818,0.8483368935001525,0.8461538461538461,0.6875,0.7586206896551724,0.9137931034482759,0.9636363636363636,0.9380530973451328,0.9363636363636364
3,5,2042,2047,284,71,0.26772369530601625,0.723720609176238,0.8908450704225352,0.8617754794225383,0.8478264627084954,0.7285714285714285,0.8095238095238095,0.7669172932330827,0.9439252336448598,0.9140271493212669,0.9287356321839081,0.9281045751633987,0.9154929577464789,0.9454545454545454,0.8922064777327935,0.7272727272727273,1.0,0.8421052631578947,1.0,0.8909090909090909,0.9423076923076923,0.9625
4,1,3042,3043,284,71,0.28261192098400834,0.7739638830251239,0.8626760563380281,0.843675931911226,0.8160346803527829,0.6538461538461539,0.8095238095238095,0.723404255319149,0.941747572815534,0.8778280542986425,0.9086651053864169,0.9087840264310852,0.9014084507042254,0.8920454545454546,0.8672897196261682,0.7368421052631579,0.875,0.8,0.9615384615384616,0.9090909090909091,0.9345794392523364,0.928409090909091
4,2,3042,3044,284,71,0.15894385598564242,0.8122325162685906,0.9084507042253521,0.8617395676219206,0.8658820110433014,0.8032786885245902,0.7777777777777778,0.7903225806451613,0.9372197309417041,0.9457013574660633,0.9414414414414415,0.9316957552251671,0.7887323943661971,0.7528409090909092,0.7258687258687259,0.5238095238095238,0.6875,0.5945945945945946,0.9,0.8181818181818182,0.8571428571428571,0.8409090909090908
4,3,3042,3045,284,71,0.24219839554040123,0.7480263461393806,0.8732394366197183,0.840625,0.8259803921568627,0.6944444444444444,0.78125,0.7352941176470589,0.9339622641509434,0.9,0.9166666666666666,0.9148437500000001,0.9014084507042254,0.8886904761904761,0.8618293021962746,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9583333333333333
4,4,3042,3046,284,71,0.16954991143504605,0.7113042144467692,0.8943661971830986,0.8356676003734826,0.8434168933323531,0.7796610169491526,0.7301587301587301,0.7540983606557377,0.9244444444444444,0.9411764705882353,0.9327354260089686,0.9298283415930475,0.8873239436619719,0.8164772727272727,0.8309523809523809,0.7857142857142857,0.6875,0.7333333333333333,0.9122807017543859,0.9454545454545454,0.9285714285714286,0.95
4,5,3042,3047,284,71,0.24321776249324406,0.6991534033089206,0.8697183098591549,0.8198304963010845,0.8144479172184846,0.696969696969697,0.7301587301587301,0.7131782945736435,0.9220183486238532,0.9095022624434389,0.9157175398633257,0.9074912016088486,0.9154929577464789,0.9232954545454546,0.8883647798742138,0.75,0.9375,0.8333333333333334,0.9803921568627451,0.9090909090909091,0.9433962264150944,0.9613636363636364
5,1,4042,4043,284,71,0.23792640891140693,0.7139794391638624,0.8838028169014085,0.8345543345543346,0.8326637741710858,0.734375,0.746031746031746,0.7401574803149606,0.9272727272727272,0.9230769230769231,0.9251700680272109,0.9218559218559219,0.8873239436619719,0.8607954545454546,0.8453159041394336,0.7222222222222222,0.8125,0.7647058823529411,0.9433962264150944,0.9090909090909091,0.9259259259259259,0.9613636363636364
5,2,4042,4044,284,71,0.20974047812586355,0.8296322242257,0.9014084507042254,0.8685628097392804,0.8603442219880576,0.7611940298507462,0.8095238095238095,0.7846153846153846,0.9447004608294931,0.9276018099547512,0.9360730593607306,0.9384471737412914,0.8450704225352113,0.8335227272727272,0.798970398970399,0.6190476190476191,0.8125,0.7027027027027027,0.94,0.8545454545454545,0.8952380952380953,0.8920454545454545
5,3,4042,4045,284,71,0.2932872906774785,0.7326358392660985,0.8732394366197183,0.861811391223156,0.8309859154929577,0.6708860759493671,0.8412698412698413,0.7464788732394366,0.9512195121951219,0.8823529411764706,0.9154929577464789,0.9128061481002657,0.9154929577464789,0.9011363636363636,0.8839869281045751,0.7777777777777778,0.875,0.8235294117647058,0.9622641509433962,0.9272727272727272,0.9444444444444444,0.9522727272727273
5,4,4042,4046,284,71,0.2285828528484602,0.7480865354627318,0.8767605633802817,0.8262784090909091,0.8244777595309989,0.7230769230769231,0.734375,0.7286821705426356,0.9223744292237442,0.9181818181818182,0.9202733485193622,0.9210227272727273,0.8873239436619719,0.8553571428571429,0.8386363636363636,0.7058823529411765,0.8,0.75,0.9444444444444444,0.9107142857142857,0.9272727272727272,0.9547619047619048
5,5,4042,4047,284,71,0.3179666036864065,0.7148443271000848,0.8873239436619719,0.8765352294764059,0.8483311081441922,0.7012987012987013,0.8571428571428571,0.7714285714285715,0.9565217391304348,0.8959276018099548,0.9252336448598131,0.9355742296918768,0.8450704225352113,0.8556818181818182,0.8055763007219319,0.6086956521739131,0.875,0.717948717948718,0.9583333333333334,0.8363636363636363,0.8932038834951457,0.9193181818181818
