representation,n_subjects,raw_feature_count,selected_feature_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,healthy_precision,healthy_recall,healthy_f1,parkinson_precision,parkinson_recall,parkinson_f1,roc_auc,fold_accuracy_mean,fold_accuracy_std,fold_macro_f1_mean,fold_macro_f1_std,fold_roc_auc_mean,fold_roc_auc_std
WPT,355,1728,300,0.8647887323943662,0.8543157218858926,0.8011421220862244,0.8543157218858926,0.8213836477987422,0.6534653465346535,0.8354430379746836,0.7333333333333333,0.9488188976377953,0.8731884057971014,0.909433962264151,0.9202898550724639,0.8647887323943662,0.02920625542722216,0.8208683889006203,0.0359523084773725,0.9213961038961038,0.04140555659836546
DWT_WPT_Fusion,355,2376,300,0.8619718309859155,0.8163639699137772,0.7981758450765107,0.8163639699137772,0.8065610230747846,0.6744186046511628,0.7341772151898734,0.703030303030303,0.9219330855018587,0.8985507246376812,0.9100917431192661,0.9112089524857825,0.8619718309859155,0.030534483646026473,0.8031053998226593,0.04652853037943478,0.9124134199134201,0.03891871423401577
DWT,355,648,300,0.8507042253521127,0.8091175931021831,0.7825995807127883,0.8091175931021831,0.7942119021317087,0.6444444444444445,0.7341772151898734,0.6863905325443787,0.9207547169811321,0.8840579710144928,0.9020332717190388,0.9093744267106952,0.8507042253521128,0.047345736095694695,0.7907441942539056,0.06621617007272293,0.9160173160173158,0.02400808218992796
